,regular_exercise,acute_4_before,acute_8_before,acute_4_to_8,previous_sleep,target
0,0,0,0,0,8.0,7.0
0,3,1,14,4,7.0,5.221595483425053
0,1,0,10,4,5.221595483425053,5.798818588930857
0,3,3,16,4,5.798818588930857,6.075194843990814
0,6,1,0,2,6.075194843990814,7.509869961649653
0,12,4,13,0,7.509869961649653,18.289761883729714
0,16,1,14,4,18.289761883729714,6.807452807475202
0,17,2,7,4,6.807452807475202,6.754086763292713
0,9,3,12,1,6.754086763292713,8.586843058715457
0,12,3,14,3,8.586843058715457,6.898095241285937
0,13,0,3,3,6.898095241285937,6.584451134257793
0,4,1,1,2,6.584451134257793,6.41850724264284
0,12,3,6,4,6.41850724264284,6.678823677489152
0,1,2,1,0,6.678823677489152,8.581447489955236
0,11,4,14,4,8.581447489955236,6.857884087510093
0,12,0,8,4,6.857884087510093,6.513247522248773
0,17,2,15,0,6.513247522248773,8.230511453748312
0,15,2,1,1,8.230511453748312,8.561277422432113
0,16,2,6,1,8.561277422432113,7.7121671755787915
0,23,1,16,3,7.7121671755787915,6.840218352872612
0,8,0,6,4,6.840218352872612,6.302583659015887
0,11,1,5,1,6.302583659015887,6.837309273410119
0,22,3,8,3,6.837309273410119,7.2067441500766165
0,16,2,3,0,7.2067441500766165,8.85270093986265
0,16,4,12,4,8.85270093986265,7.087981001197287
0,4,4,1,4,7.087981001197287,7.420004756855006
0,17,3,15,3,7.420004756855006,7.053066855477441
0,6,2,3,0,7.053066855477441,8.359529261456972
0,0,0,9,0,8.359529261456972,6.039359447927049
0,7,4,10,0,6.039359447927049,18.62589795283632
0,6,0,1,4,18.62589795283632,6.326533147401481
0,2,0,16,0,6.326533147401481,6.102872331931331
0,16,0,13,3,6.102872331931331,6.659238707816369
0,3,2,9,4,6.659238707816369,6.030343792580331
0,23,3,12,2,6.030343792580331,7.709564610007453
0,22,1,8,0,7.709564610007453,7.439324237554464
0,14,0,4,0,7.439324237554464,6.882141766801083
0,14,1,9,4,6.882141766801083,6.613082629252691
0,15,0,3,4,6.613082629252691,6.635086320780587
0,21,1,15,0,6.635086320780587,7.328634041354426
0,2,2,12,0,7.328634041354426,7.540423168505216
0,9,2,3,3,7.540423168505216,6.614631478842954
0,18,3,7,4,6.614631478842954,6.883947855598667
0,7,4,7,1,6.883947855598667,13.369613775049729
0,15,2,13,4,13.369613775049729,6.7748721260935065
0,15,0,16,3,6.7748721260935065,6.6434718784228135
0,21,3,6,3,6.6434718784228135,7.248179225881095
0,19,1,4,3,7.248179225881095,6.825847694623684
0,0,4,4,1,6.825847694623684,14.337935074792458
0,14,0,9,0,14.337935074792458,6.9269738155947875
0,21,1,10,2,6.9269738155947875,6.904502468326507
0,1,0,14,3,6.904502468326507,5.861369748897077
0,5,1,6,2,5.861369748897077,6.246438106834775
0,7,0,11,4,6.246438106834775,6.224799762464357
0,10,2,5,0,6.224799762464357,8.3366352827076
0,5,1,15,1,8.3366352827076,6.426427522430677
0,18,3,15,2,6.426427522430677,7.598126422737757
0,17,1,7,3,7.598126422737757,6.770945749595154
0,13,2,1,4,6.770945749595154,6.733132788512578
0,1,3,16,4,6.733132788512578,5.967417450807508
0,1,2,4,0,5.967417450807508,7.864368736125613
0,7,0,12,0,7.864368736125613,6.4763755954676965
0,20,2,4,3,6.4763755954676965,6.958392726164131
0,12,1,13,4,6.958392726164131,6.526188828726032
0,7,2,3,4,6.526188828726032,6.320604223919207
0,23,1,2,4,6.320604223919207,6.803488688000805
0,17,3,14,1,6.803488688000805,8.83563425176356
0,13,2,11,2,8.83563425176356,6.954035481821314
0,9,2,15,4,6.954035481821314,6.401492742536398
0,12,2,10,2,6.401492742536398,6.867516148883967
0,15,4,0,4,6.867516148883967,33.927952119709694
0,18,1,2,3,33.927952119709694,6.999544064164298
0,23,0,11,1,6.999544064164298,6.89199118443522
0,15,0,14,3,6.89199118443522,6.647230713803813
0,6,3,9,2,6.647230713803813,7.223472191193968
0,19,1,2,1,7.223472191193968,7.291225149443184
0,22,3,3,2,7.291225149443184,8.422930531216362
0,7,3,12,1,8.422930531216362,8.506807882641827
0,4,4,1,4,8.506807882641827,7.449722867964111
0,18,3,1,2,7.449722867964111,9.550942140156259
0,7,2,0,1,9.550942140156259,9.981447037659349
0,23,0,6,0,9.981447037659349,7.086502210866576
0,17,4,14,0,7.086502210866576,18.293869230044
0,1,1,16,1,18.293869230044,6.249883192360462
0,17,0,13,4,6.249883192360462,6.681628832361817
0,6,2,14,4,6.681628832361817,6.217337766014572
0,18,1,15,1,6.217337766014572,6.983907562987098
0,22,1,16,1,6.983907562987098,7.055241201093057
0,19,0,10,4,7.055241201093057,6.749574010225614
0,20,1,4,2,6.749574010225614,6.94617079406847
0,12,1,14,1,6.94617079406847,6.7976527718790765
