,physical,mental,extra,previous,target
0,0,0,0.0,9.0,7.5
0,2,9,0.594901224809754,7.5,8.890237728190261
0,8,2,0.48532717697993855,8.890237728190261,8.402940829821556
0,2,6,0.46954231579291483,8.402940829821556,8.473265559871304
0,9,10,0.9047055723794776,8.473265559871304,9.123225360519827
0,9,2,0.12240576681720161,9.123225360519827,8.60673899079307
0,10,4,0.7837983022215776,8.60673899079307,8.826973104250662
0,7,8,0.1592012834245513,8.826973104250662,9.129131506499323
0,8,0,0.9735199162748468,9.129131506499323,7.770196206362803
0,3,10,0.2564253527933339,7.770196206362803,9.0817219214824
0,1,6,0.43619928704023025,9.0817219214824,8.163676710360699
0,8,2,0.8364012806941175,8.163676710360699,8.469590783907655
0,5,8,0.5410893282980671,8.469590783907655,8.857314924176901
0,5,7,0.21544950105580984,8.857314924176901,8.830843465601495
0,9,10,0.3706957037165053,8.830843465601495,9.271037659607915
0,8,3,0.5931775621796043,9.271037659607915,8.367055832113774
0,3,6,0.2707576496676498,8.367055832113774,8.68461955883653
0,10,5,0.1636991698509379,8.68461955883653,9.230384009982236
0,8,5,0.8705738209382903,9.230384009982236,8.495025200723324
0,9,1,0.5304444648196195,8.495025200723324,8.459537165722647
0,2,2,0.9282055253172083,8.459537165722647,7.725068509808795
0,0,7,0.4109979869082456,7.725068509808795,8.610484694131314
0,4,9,0.9774119747227419,8.610484694131314,8.52882078852333
0,6,10,0.9563209291710191,8.52882078852333,8.778899272573382
0,2,3,0.8268283132753581,8.778899272573382,7.814276585577407
0,5,3,0.3158563489450231,7.814276585577407,8.6913034634079
0,8,1,0.5994782269640565,8.6913034634079,8.259594197088903
0,10,3,0.8532125899046374,8.259594197088903,8.774186139090927
0,7,7,0.07843012782377878,8.774186139090927,9.12706274724617
0,5,4,0.15597357138848722,9.12706274724617,8.467444217516174
0,8,4,0.5777626936658488,8.467444217516174,8.776422499620825
0,3,4,0.1993043692961487,8.776422499620825,8.362658901104124
0,6,10,0.12426630063975808,8.362658901104124,9.250313882645413
0,10,0,0.7017638292848305,9.250313882645413,8.065680124475781
0,5,10,0.4669037870568946,8.065680124475781,9.077988064979627
0,1,4,0.9676678605275786,9.077988064979627,7.677955300368808
0,2,2,0.8242294604450622,7.677955300368808,8.037583830696146
0,4,0,0.22566526199713066,8.037583830696146,8.107972758769385
0,1,8,0.054284108651460716,8.107972758769385,8.82125687571296
0,5,10,0.3059869958209722,8.82125687571296,8.906587543518526
0,3,10,0.11268577556769876,8.906587543518526,8.774794597709976
0,2,4,0.1505380415371076,8.774794597709976,8.287584698953927
0,1,6,0.3350643437526022,8.287584698953927,8.478956589514004
0,0,10,0.4272504977611089,8.478956589514004,8.460055887948112
0,10,4,0.37006118580818403,8.460055887948112,9.082736030072345
0,3,4,0.454381158152252,9.082736030072345,8.133015996525565
0,2,6,0.4430672884209479,8.133015996525565,8.576478017989285
0,10,7,0.4978036498072199,8.576478017989285,9.283278693288329
0,1,9,0.051855763312793735,9.283278693288329,8.467334227842631
0,2,7,0.8179525155577028,8.467334227842631,8.359585523795305
0,6,2,0.5588320553951234,8.359585523795305,8.343072458745617
0,10,6,0.7695398235644998,8.343072458745617,9.14322292967749
0,8,5,0.09476567901287758,9.14322292967749,8.911982965120947
0,1,2,0.7854351445230024,8.911982965120947,7.545638433739796
0,1,7,0.6903597855217077,7.545638433739796,8.630613820180915
0,1,5,0.7460862742463573,8.630613820180915,8.05719237066973
0,0,0,0.9800543500791814,8.05719237066973,7.324242034737166
0,1,7,0.028511998695602503,7.324242034737166,9.03533651326151
0,9,6,0.7477245643385189,9.03533651326151,8.823375874451852
0,7,5,0.619275547839914,8.823375874451852,8.656343715782638
0,8,5,0.9361692020004154,8.656343715782638,8.653574274925463
0,5,1,0.4513199536851681,8.653574274925463,8.04624972988916
0,8,5,0.47851321457290785,8.04624972988916,9.08576693060371
0,4,2,0.9224159778661215,9.08576693060371,7.719220028573983
0,5,3,0.6870624326927183,7.719220028573983,8.537385940535192
0,9,4,0.08725509870049053,8.537385940535192,9.098362389430497
0,10,5,0.8239988154325271,9.098362389430497,8.762319910326784
0,3,5,0.004578207354977826,8.762319910326784,8.584044374066796
0,6,0,0.0442074870582112,8.584044374066796,8.21654813178196
0,5,2,0.17879631521540906,8.21654813178196,8.48076945950659
0,8,9,0.8680026431624557,8.48076945950659,9.026763865845048
0,1,3,0.00760482629587822,9.026763865845048,8.041266797976592
0,9,0,0.8640051686474772,8.041266797976592,8.287575149684065
0,3,7,0.377072555998337,8.287575149684065,8.739945196294512
0,9,7,0.5667503924056374,8.739945196294512,9.094316262554045
0,1,10,0.7059985257517385,9.094316262554045,8.215561982939448
0,10,10,0.5024539152887653,8.215561982939448,9.510252381375802
0,0,0,0.009982736193714592,9.510252381375802,7.324924504777876
0,0,9,0.3701196271635291,7.324924504777876,8.860987025420748
0,6,1,0.3825957746152453,8.860987025420748,8.11147423592569
0,0,10,0.06558656791330353,8.11147423592569,8.763381970734784
0,8,4,0.01983778031213168,8.763381970734784,8.956739038558148
0,9,0,0.6882554224995572,8.956739038558148,8.070292609230838
0,7,0,0.8356632036806145,8.070292609230838,8.092070861749413
0,9,3,0.24691909348929375,8.092070861749413,9.03317399907843
0,6,5,0.9268373987696553,9.03317399907843,8.33263008210891
0,2,10,0.8919523290094103,8.33263008210891,8.476480474792325
0,0,3,0.37324793278518464,8.476480474792325,7.9418730417495125
0,5,4,0.37281052167805095,7.9418730417495125,8.754088977536943
0,2,4,0.05572406694447252,8.754088977536943,8.341893559641257
0,6,0,0.5591375313489392,8.341893559641257,8.039800047778444
0,6,9,0.6837423376722093,8.039800047778444,9.06588382249955
0,5,10,0.19806600750621706,9.06588382249955,8.879005722080375
0,1,5,0.6684651309755503,8.879005722080375,8.01320564167198
0,9,0,0.060951234297100254,8.01320564167198,8.698455835627456
0,5,5,0.704797968227372,8.698455835627456,8.455222518530377
0,5,2,0.17696134952883102,8.455222518530377,8.40212881343374
0,9,10,0.1740842116785366,8.40212881343374,9.51224828968282
0,4,6,0.8275864335042724,9.51224828968282,8.124474347728539
0,6,6,0.4301136186365886,8.124474347728539,8.985802069147141
0,9,5,0.8977033985263709,8.985802069147141,8.662987725540983
0,5,7,0.8901406735108727,8.662987725540983,8.558273612252604
0,10,7,0.14377073149031117,8.558273612252604,9.466363287692346
0,9,0,0.5507811702817415,9.466363287692346,7.9691549856283475
0,8,1,0.02798333301323619,7.9691549856283475,8.786057803324166
0,10,9,0.9070761883167998,8.786057803324166,9.10546431199535
0,8,1,0.4059882886207221,9.10546431199535,8.218285550064754
0,8,9,0.22477714031272467,8.218285550064754,9.435871253750525
0,8,2,0.7874382853783571,9.435871253750525,8.070007433768927
0,4,3,0.6986458269198855,8.070007433768927,8.314665108356628
0,3,0,0.29220195933493953,8.314665108356628,7.882343984213654
0,9,8,0.6241163698248341,7.882343984213654,9.411550336644853
0,0,1,0.5799562979200493,9.411550336644853,7.229272870531923
0,10,0,0.8788698356567068,7.229272870531923,8.650807458661005
0,7,0,0.2440858755925881,8.650807458661005,8.19435457598337
0,9,9,0.255990400565801,8.19435457598337,9.528241614984449
0,8,9,0.177091412563398,9.528241614984449,9.02306209598529
0,6,10,0.3102409081416634,9.02306209598529,8.93719218060074
0,10,10,0.5016423145641795,8.93719218060074,9.270114782517664
0,7,5,0.382414670743332,9.270114782517664,8.625861184975658
0,1,7,0.5663065522290041,8.625861184975658,8.332566186415313
